,kind,node,strength
0,Measure,Regression‐based Measures,194.0
1,RqType,Empirical Estimates and Determinants,142.0
2,RqType,Intergenerational Wealth Mobility and Inheritance,120.0
3,DataType,Panel/Longitudinal Surveys,80.0
4,DataType,Linked Administrative Data,74.0
5,DataType,Administrative/Registry Data,66.0
6,Measure,Rank‐based Measures,62.0
7,DataType,No dataset,54.0
8,Measure,Decomposition / Structural Approaches,38.0
9,DataType,National Survey Data,38.0
10,RqType,Measurement and Methodological Advances,32.0
11,Measure,Absolute Mobility Measures,30.0
12,RqType,"Policy, Institutional, and Geographic Impacts",28.0
13,RqType,Theoretical and Structural Models,20.0
14,Measure,Transition Matrix / Probability Measures,18.0
15,Measure,Others_Measure,16.0
16,DataType,Others_DataType,14.0
17,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",10.0
18,DataType,Natural/Experimental Data,10.0
19,DataType,Opportunity Atlas,10.0
20,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",8.0
21,DataType,Archival/Historical Data,6.0
22,DataType,Big Data,6.0
23,Measure,Multigenerational Measures,4.0
24,DataType,International Panel Data,4.0
25,RqType,Perceptions of Mobility and Attitudes,4.0
26,Measure,Non‐parametric Approaches,2.0
27,DataType,University/Institution Data,2.0
28,DataType,Pseudo-Panel/Household Budget Survey,0.0
29,RqType,Others_RqType,0.0
