id,doi,landing_page,oa_link
https://openalex.org/W2564827629,https://doi.org/10.1126/science.aal4617,https://doi.org/10.1126/science.aal4617,https://apps.bea.gov/scb/pdf/2007/02%20February/0207_history_article.pdf
https://openalex.org/W1966505070,https://doi.org/10.1111/j.1467-985x.2008.00575.x,https://doi.org/10.1111/j.1467-985x.2008.00575.x,https://academic.oup.com/jrsssa/article-pdf/172/2/483/49617863/jrsssa_172_2_483.pdf
https://openalex.org/W3041900243,https://doi.org/10.2139/ssrn.3648796,https://doi.org/10.2139/ssrn.3648796,https://www.econstor.eu/bitstream/10419/223898/1/dp13456.pdf
https://openalex.org/W2508091509,https://doi.org/10.26509/frbc-ec-201606,https://doi.org/10.26509/frbc-ec-201606,https://www.clevelandfed.org/~/media/content/newsroom and events/publications/economic commentary/2016/ec 201606 income inequality and mobility/ec 201606 income inequality and mobility.pdf
https://openalex.org/W4393244952,https://doi.org/10.1257/app.20210137,https://doi.org/10.1257/app.20210137,http://eprints.lse.ac.uk/122124/3/manduca_et_al_2024_measuring_absolute_income_mobility_lessons_from_north_america_and_europe.pdf
https://openalex.org/W3208235548,https://doi.org/10.1111/1475-4932.12641,https://doi.org/10.1111/1475-4932.12641,https://econpapers.repec.org/scripts/redir.pf?u=https%3A%2F%2Fdocs.iza.org%2Fdp14417.pdf;h=repec:iza:izadps:dp14417
https://openalex.org/W3122728969,https://doi.org/10.2139/ssrn.878675,https://doi.org/10.2139/ssrn.878675,http://wrap.warwick.ac.uk/81/1/WRAP_Naylor_twerp_781.pdf
https://openalex.org/W3166017557,https://doi.org/10.2139/ssrn.3858188,https://doi.org/10.2139/ssrn.3858188,https://econpapers.repec.org/scripts/redir.pf?u=https%3A%2F%2Fdocs.iza.org%2Fdp14417.pdf;h=repec:iza:izadps:dp14417
https://openalex.org/W4289222991,https://doi.org/10.1038/s41586-022-04996-4,https://doi.org/10.1038/s41586-022-04996-4,https://www.nature.com/articles/s41586-022-04996-4.pdf
https://openalex.org/W2164455384,https://doi.org/10.1111/1467-937x.00203,https://doi.org/10.1111/1467-937x.00203,https://www.econstor.eu/bitstream/10419/80147/1/33096061X.pdf
https://openalex.org/W2470832101,https://doi.org/10.1177/0003122416653602,https://doi.org/10.1177/0003122416653602,http://eprints.lse.ac.uk/66753/1/Laurison_Class%20pay%20gap_2016.pdf
https://openalex.org/W2123210148,https://doi.org/10.5860/choice.50-4551,https://doi.org/10.5860/choice.50-4551,https://openknowledge.worldbank.org/bitstream/handle/10986/11858/9780821396346.pdf?sequence=5
https://openalex.org/W2802089178,https://doi.org/10.1111/1468-4446.12374,https://doi.org/10.1111/1468-4446.12374,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1468-4446.12374
https://openalex.org/W2079089263,https://doi.org/10.1080/01425690801966402,https://doi.org/10.1080/01425690801966402,https://birmingham.elsevierpure.com/files/2919962/Gorard_2008_British_Journal_of_Sociology_of_Education.pdf
https://openalex.org/W2042572864,https://doi.org/10.1111/j.1467-6435.2009.00436.x,https://doi.org/10.1111/j.1467-6435.2009.00436.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1467-6435.2009.00436.x
https://openalex.org/W2912008487,https://doi.org/10.2139/ssrn.3286163,https://doi.org/10.2139/ssrn.3286163,https://www.econstor.eu/bitstream/10419/193198/1/dp11904.pdf
https://openalex.org/W4407738440,https://doi.org/10.1371/journal.pone.0313710,https://doi.org/10.1371/journal.pone.0313710,https://doi.org/10.1371/journal.pone.0313710
https://openalex.org/W3143516863,https://doi.org/10.1016/s2095-3119(20)63373-1,https://doi.org/10.1016/s2095-3119(20)63373-1,https://doi.org/10.1016/s2095-3119(20)63373-1
https://openalex.org/W4234924712,https://doi.org/10.2139/ssrn.3668721,https://doi.org/10.2139/ssrn.3668721,https://unsworks.unsw.edu.au/bitstreams/5565df99-de6b-45ba-931b-f81e467e7776/download
https://openalex.org/W3123290206,https://doi.org/10.2139/ssrn.267212,https://doi.org/10.2139/ssrn.267212,https://www.econstor.eu/bitstream/10419/259302/1/wp01-06.pdf
https://openalex.org/W3027769937,https://doi.org/10.15195/v7.a10,https://doi.org/10.15195/v7.a10,https://discovery.ucl.ac.uk/id/eprint/10168743/1/SocSci_v7_242to267.pdf
https://openalex.org/W4295122648,https://doi.org/10.1093/ereh/heac010,https://doi.org/10.1093/ereh/heac010,https://academic.oup.com/ereh/article-pdf/27/1/1/49087708/heac010.pdf
https://openalex.org/W2159878756,https://doi.org/10.2139/ssrn.2225960,https://doi.org/10.2139/ssrn.2225960,http://sedici.unlp.edu.ar/bitstream/handle/10915/37965/Documento_completo.pdf?sequence=1
https://openalex.org/W2056728055,https://doi.org/10.15185/izawol.56,https://doi.org/10.15185/izawol.56,https://wol.iza.org/uploads/articles/463/pdfs/school-tracking-and-intergenerational-social-mobility.pdf
https://openalex.org/W4391164542,https://doi.org/10.2139/ssrn.4704655,https://doi.org/10.2139/ssrn.4704655,https://www.econstor.eu/bitstream/10419/283244/1/1880604868.pdf
https://openalex.org/W4381889820,https://doi.org/10.1177/15356841231179436,https://doi.org/10.1177/15356841231179436,https://osf.io/c8qr4/download
https://openalex.org/W4242326182,https://doi.org/10.1787/44f2eeff-en,https://doi.org/10.1787/44f2eeff-en,
https://openalex.org/W2905819002,https://doi.org/10.12681/scad.18957,https://doi.org/10.12681/scad.18957,https://ejournals.epublishing.ekt.gr/index.php/SCAD/article/download/18957/16730
https://openalex.org/W4308132439,https://doi.org/10.17576/jem-2022-5603-08,https://doi.org/10.17576/jem-2022-5603-08,http://www.ukm.my/jem/wp-content/uploads/2022/11/jeko_563-8.pdf
https://openalex.org/W1020822704,,https://doi.org/10.1590/0102-311x00067714,http://www.scielo.br/pdf/csp/v31n6/0102-311X-csp-31-6-1225.pdf
https://openalex.org/W1504828284,https://doi.org/10.2202/1935-1682.2880,https://doi.org/10.2202/1935-1682.2880,https://digitalcommons.odu.edu/cgi/viewcontent.cgi?article=1034&context=commhealth_fac_pubs
https://openalex.org/W1510224607,https://doi.org/10.2139/ssrn.418646,https://doi.org/10.2139/ssrn.418646,https://www.econstor.eu/bitstream/10419/20042/1/dp797.pdf
https://openalex.org/W1521709394,https://doi.org/10.3790/schm.127.1.7,https://doi.org/10.3790/schm.127.1.7,https://doi.org/10.3790/schm.127.1.7
https://openalex.org/W1524458346,https://doi.org/10.7764/laje.51.2.247,https://doi.org/10.7764/laje.51.2.247,http://www.scielo.cl/pdf/laje/v51n2/art04.pdf
https://openalex.org/W1525853258,https://doi.org/10.2139/ssrn.958718,https://doi.org/10.2139/ssrn.958718,https://discovery.ucl.ac.uk/1495103/1/Final_EJ_publication.pdf
https://openalex.org/W1546068527,https://doi.org/10.2139/ssrn.1003345,https://doi.org/10.2139/ssrn.1003345,http://eprints.lse.ac.uk/19701/1/Intergenerational_Mobility_and_the_Informative_Content_of_Surnames.pdf
https://openalex.org/W1557569468,https://doi.org/10.3368/jhr.51.1.239,https://doi.org/10.3368/jhr.51.1.239,https://econpapers.repec.org/scripts/redir.pf?u=https%3A%2F%2Fdocs.iza.org%2Fdp5697.pdf;h=repec:iza:izadps:dp5697
https://openalex.org/W1559271355,https://doi.org/10.2139/ssrn.139768,https://doi.org/10.2139/ssrn.139768,https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m1998113-eng.pdf
https://openalex.org/W1575557529,https://doi.org/10.2139/ssrn.473188,https://doi.org/10.2139/ssrn.473188,http://www.chicagofed.org/digital_assets/publications/working_papers/2003/wp2003-16.pdf
https://openalex.org/W1578919155,https://doi.org/10.2139/ssrn.912720,https://doi.org/10.2139/ssrn.912720,https://edoc.unibas.ch/61255/1/20180305122018_5a9d27f285997.pdf
https://openalex.org/W1581391655,https://doi.org/10.2139/ssrn.116908,https://doi.org/10.2139/ssrn.116908,https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m1996089-eng.pdf
https://openalex.org/W1583265181,https://doi.org/10.1111/sjoe.12069,https://doi.org/10.1111/sjoe.12069,https://ddd.uab.cat/pub/artpub/2014/174254/scajoueco_a2014v116p1012iENG.pdf
https://openalex.org/W1770740881,https://doi.org/10.2139/ssrn.2676509,https://doi.org/10.2139/ssrn.2676509,https://discovery.ucl.ac.uk/10104366/7/Carneiro_712443.pdf
https://openalex.org/W1792190074,https://doi.org/10.1093/sf/sov075,https://doi.org/10.1093/sf/sov075,https://discovery.ucl.ac.uk/1472908/7/Social%20Forces-2015-Jerrim-505-33.pdf
https://openalex.org/W1842793959,https://doi.org/10.2139/ssrn.2331887,https://doi.org/10.2139/ssrn.2331887,https://www.econstor.eu/bitstream/10419/83664/1/769534767.pdf
https://openalex.org/W1862838271,https://doi.org/10.2139/ssrn.2608069,https://doi.org/10.2139/ssrn.2608069,https://www.pure.ed.ac.uk/ws/files/41649239/italiamobillitypaper.pdf
https://openalex.org/W1882444807,https://doi.org/10.17485/ijst/2015/v8is7/70422,https://doi.org/10.17485/ijst/2015/v8is7/70422,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-Supplementary-7/Article30.pdf
https://openalex.org/W1885260769,https://doi.org/10.2139/ssrn.1066819,https://doi.org/10.2139/ssrn.1066819,https://www.chicagofed.org/%7E/media/publications/working-papers/2007/wp2007-12-pdf.pdf
https://openalex.org/W1896704912,https://doi.org/10.1111/j.1467-6435.2011.00505.x,https://doi.org/10.1111/j.1467-6435.2011.00505.x,https://eprints.lancs.ac.uk/id/eprint/51863/1/10.pdf
https://openalex.org/W1912659445,https://doi.org/10.7764/laje.51.2.179,https://doi.org/10.7764/laje.51.2.179,http://www.scielo.cl/pdf/laje/v51n2/art01.pdf
https://openalex.org/W1967097718,https://doi.org/10.1515/bejeap-2013-0008,https://doi.org/10.1515/bejeap-2013-0008,https://www.degruyter.com/document/doi/10.1515/bejeap-2013-0008/pdf
https://openalex.org/W1969197029,https://doi.org/10.1353/lar.0.0089,https://doi.org/10.1353/lar.0.0089,http://academiccommons.columbia.edu/download/fedora_content/download/ac%3A129030/CONTENT/2007_14.pdf
https://openalex.org/W1971213371,https://doi.org/10.2139/ssrn.898589,https://doi.org/10.2139/ssrn.898589,https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2005267-eng.pdf
https://openalex.org/W1978270348,https://doi.org/10.1177/0027950108096594,https://doi.org/10.1177/0027950108096594,https://openresearch.surrey.ac.uk/view/delivery/44SUR_INST/12139408890002346/13140528770002346
https://openalex.org/W1989526535,https://doi.org/10.2202/1935-1682.1711,https://doi.org/10.2202/1935-1682.1711,http://www.iza.org/conference_files/SUMS2006/piraino_p2658.pdf
https://openalex.org/W1993865286,https://doi.org/10.1111/roiw.12032,https://doi.org/10.1111/roiw.12032,https://europepmc.org/articles/pmc6089545?pdf=render
https://openalex.org/W2009549340,https://doi.org/10.1080/00036840600949421,https://doi.org/10.1080/00036840600949421,https://hal.science/hal-00582084/document
https://openalex.org/W2027209063,https://doi.org/10.7465/jkdi.2014.25.4.715,https://doi.org/10.7465/jkdi.2014.25.4.715,http://koreascience.or.kr:80/article/JAKO201423366169090.pdf
https://openalex.org/W2028289362,https://doi.org/10.4067/s0718-88702010000200003,https://doi.org/10.4067/s0718-88702010000200003,http://www.scielo.cl/pdf/rae/v25n2/art03.pdf
https://openalex.org/W2068645718,https://doi.org/10.1093/sf/sou092,https://doi.org/10.1093/sf/sou092,https://doi.org/10.1093/sf/sou092
https://openalex.org/W2079691849,https://doi.org/10.1257/aer.99.1.146,https://doi.org/10.1257/aer.99.1.146,http://papers.nber.org/papers/w13162.pdf
https://openalex.org/W2082418718,https://doi.org/10.1257/000282802760015766,https://doi.org/10.1257/000282802760015766,http://www.ciln.mcmaster.ca/papers/cc98/iim.pdf
https://openalex.org/W2094244093,https://doi.org/10.4067/s0718-52862011000100008,https://doi.org/10.4067/s0718-52862011000100008,http://www.scielo.cl/pdf/ede/v38n1/art08.pdf
https://openalex.org/W2097343718,https://doi.org/10.1111/j.1475-4991.2009.00333.x,https://doi.org/10.1111/j.1475-4991.2009.00333.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1475-4991.2009.00333.x
https://openalex.org/W2105584013,https://doi.org/10.1093/qje/qju022,https://doi.org/10.1093/qje/qju022,https://academic.oup.com/qje/article-pdf/129/4/1553/30631636/qju022.pdf
https://openalex.org/W2107393980,https://doi.org/10.1111/obes.12146,https://doi.org/10.1111/obes.12146,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/obes.12146
https://openalex.org/W2108734997,https://doi.org/10.1111/roiw.12130,https://doi.org/10.1111/roiw.12130,https://mpra.ub.uni-muenchen.de/34942/1/MPRA_paper_34942.pdf
https://openalex.org/W2116568238,https://doi.org/10.2139/ssrn.869435,https://doi.org/10.2139/ssrn.869435,http://www.chicagofed.org/digital_assets/publications/working_papers/2005/wp2005_12.pdf
https://openalex.org/W2119587652,https://doi.org/10.1257/089533002760278712,https://doi.org/10.1257/089533002760278712,https://www.aeaweb.org/articles/pdf/doi/10.1257/089533002760278712
https://openalex.org/W2120158174,https://doi.org/10.2139/ssrn.2504100,https://doi.org/10.2139/ssrn.2504100,http://www.rcea.org/RePEc/pdf/wp20_14.pdf
