id,Q1,Q1_1,Q2,Q2_1,Q2_2,Q3,Q4
https://openalex.org/W1994619981,No,"The paper focuses on life cycle earnings dynamics, using an econometric approach to model earnings mobility and poverty transitions over time, rather than on inter- or multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2564827629,Yes,"The paper examines intergenerational income mobility by comparing children’s outcomes to their parents’ incomes. It shows that while children born in the mid-20th century generally earned more than their parents, only about half of children born in 1984 achieved such upward mobility.",Yes,"The paper refers to 'absolute income mobility,' which evaluates whether children earn more in absolute terms than their parents.",N/A,Yes,N/A
https://openalex.org/W2015903886,No,"The paper focuses on defining and measuring overall income mobility by decomposing it into two components: transfers of income among individuals and changes in the total income available, rather than on inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2117407660,Yes,"The paper examines income mobility in Britain, implying an investigation into how income or earnings are transmitted across generations. However, beyond the title and bibliographic details, no further specifics are provided in the available information.",No,N/A,The provided abstract and details do not explicitly mention any particular measures for studying inter/multigenerational wealth/income/earning mobility.,N/A,N/A
https://openalex.org/W3123373494,No,"The paper focuses on comparing income inequality and income mobility across the Scandinavian countries and the United States, rather than examining inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1515121029,Yes,"The paper’s title clearly indicates that it discusses intergenerational income mobility in Britain, suggesting an analysis of how income or economic status is transmitted across generations.",No,N/A,The information provided (title and citation) does not include any details about specific measures used to study intergenerational income mobility.,N/A,N/A
https://openalex.org/W2008496439,No,"The paper does not address inter- or multigenerational wealth/income/earning mobility. Instead, its main focus is on examining income mobility through the lens of the Markov assumption, analyzing the transition dynamics of income states.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3123152915,No,"The paper focuses on household income mobility in KwaZulu-Natal, examining how demographic and employment changes—as well as varying household sizes, education levels, asset endowments and employment access—shape poverty dynamics.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2810621440,No,"The main focus of the paper is on whether elite college admissions increase students’ chances of securing leadership roles and achieving top incomes, particularly by analyzing the effects of admissions in elite business degree programs in Chile.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2138126113,No,"The paper focuses on analyzing the usage, participation patterns, and income mobility among Earned Income Tax Credit recipients rather than discussing inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2081092446,No,"The paper's main focus is on examining income mobility and its implications for understanding inequality, specifically analyzing how persistent versus transient low income affects policy decisions.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2161753386,No,"The paper primarily focuses on measuring income mobility within the same generation over time, using longitudinal data to assess permanent inequality (immobility) in Spain during 1985–92.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2125190089,No,"The paper's main focus is on examining mobility within the U.S. income distribution over the 1970s and 1980s using measures of annual and permanent income, rather than inter/multigenerational mobility.",N/A,N/A,"The paper does not address inter/multigenerational mobility, so it does not discuss any specific measures for it.",N/A,N/A
https://openalex.org/W2046200558,No,The paper is focused on analyzing post-government income mobility in Germany and the United States rather than inter/multigenerational mobility.,N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2021744740,No,"The paper primarily focuses on analyzing income mobility patterns in rural India without specifically addressing inter/multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2155278075,Yes,"The paper examines income mobility by looking at cohort changes and racial differences, thereby addressing intergenerational mobility processes. It discusses how educational attainment and income mobility vary across different cohorts and between racial groups.",No,N/A,The available information does not provide any details on specific measures used to study intergenerational mobility.,N/A,N/A
https://openalex.org/W3125010010,No,"The main focus of the paper is on the relationship between income inequality and the decision of low‐income youth to drop out of high school, examining how perceived returns on investment in human capital affect educational attainment.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2245467532,No,"The paper focuses on income mobility within individuals over time, examining movements across income quintiles using tax data, rather than on inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2027230797,Yes,"Based solely on the title, the paper appears to investigate whether family income mobility patterns have changed over time, which implicitly involves intergenerational income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3125315045,No,"The paper primarily focuses on decomposing income mobility indices into parts that reflect changes in the income distribution shape and the reordering (reranking) of individuals, rather than addressing inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2953333040,No,"The paper focuses on how marginal tax rates affect income mobility within the income distribution, analyzing the probability of moving between income deciles using PSID household panel data.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1578032143,No,"The paper focuses on measuring the evolution of income mobility and poverty transitions in Latin America using constructed pseudo‐panels and econometric techniques, rather than examining inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1972863652,No,"The main focus of the paper is on examining how housing voucher interventions affect residential mobility and neighborhood outcomes for low-income populations, rather than exploring inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2141137509,No,"The paper mainly focuses on the analysis of local social networks, socialisation processes, and limited opportunity structures that affect the social mobility of already-poor residents in a low-income neighbourhood, rather than on inter- or multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2107656898,No,"The paper primarily focuses on residential mobility and housing pathways among low-income households, analyzing different patterns such as private rental paths, homelessness, exiting homeownership, and moves in and out of social housing.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3125907583,No,"The paper primarily focuses on the income mobility of small business owners compared to wage earners, rather than on inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2142746262,No,"The paper focuses on long‐run income mobility among urban individuals in China and the United States during the 1990s, examining how annual measures of income inequality can be misleading and investigating overall patterns of income change rather than inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2097833600,No,"The paper does not discuss inter/multigenerational wealth/income/earning mobility. Its main focus is on how homeownership affects household mobility, housing price volatility, and income dispersion.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2024726687,No,"The paper focuses on household income mobility and poverty dynamics in South Africa, examining the roles of demographic and employment changes, as well as identifying poverty traps, rather than studying inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3123161983,No,"The paper primarily focuses on examining long-run income mobility and income inequality dynamics among urban individuals in China and the US, rather than addressing inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1518674462,No,"The paper focuses on top income mobility by examining whether top income earners hold their positions permanently or temporarily, and studying how mobility at the top has changed over time in Norway.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2127486919,No,"The paper primarily focuses on comparing overall income mobility across four countries rather than studying inter/multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2119779933,No,"The paper primarily focuses on income, cohort effects, and occupational mobility in the context of immigration to the United States at the turn of the 20th century, rather than on inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2163017801,No,"The paper focuses on analyzing labor earnings and household income mobility in reunified Germany, comparing the eastern and western states over time.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2194560166,No,"The paper primarily focuses on analyzing income inequality and intra-generational income mobility based on rural per capita net income, rather than inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3124124980,No,"The paper focuses on how annual income mobility affects social welfare by examining different types of intra-generational income mobility and their impact on income variability and inequality over time, rather than discussing inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1919273765,No,"The paper primarily examines income mobility and poverty dynamics in Britain, rather than focusing on inter/multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1992924159,No,"The paper primarily focuses on individual mobility among top income taxpayers in Germany, analyzing the persistence in top income fractiles, mobility across income ranks, and the impact on top income shares, rather than examining inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3023533597,No,"The paper primarily focuses on income mobility in old age, examining how factors like changes in living arrangements, widowhood, and previous employment status affect older individuals' income in Britain and Germany.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W571715535,Yes,"The paper examines family economic mobility by analyzing how low‐income families’ outcomes depend not just on having a job, but also on parental backgrounds and children’s environments, implying intergenerational influences.",No,N/A,The paper appears to focus on a conceptual discussion about the determinants of economic mobility rather than detailing specific quantitative measures for inter/multigenerational mobility.,N/A,N/A
https://openalex.org/W3197196311,No,"The paper primarily focuses on analyzing income inequality and individual income mobility by modeling income growth with stochastic resetting, exploring non-ergodic dynamics rather than inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2898915016,No,The paper focuses on how income mobility impacts the measurement of life expectancy inequality rather than on inter/multigenerational mobility.,N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1997612495,No,"The paper primarily focuses on low-income homeownership and housing (im)mobility in Latin American cities, examining household turnover, property values, and inheritance patterns rather than inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2806472044,No,"The paper primarily focuses on income inequality and income mobility in India, exploring trends, sources, and the relationship between income mobility and longer-term income equalization, rather than inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1966505070,Yes,"The paper compares social class and income mobility tables by examining the association between parental and child socio‐economic positions, effectively addressing intergenerational income mobility.",Yes,It describes using the level of association derived from square contingency tables (empirical transition matrices) as a measure of mobility between generations.,N/A,Yes,N/A
https://openalex.org/W2020975392,No,"The paper focuses on determinants of household income mobility in rural China, examining factors such as initial income, wage income share, non‐agricultural employment, education levels, and age of the household head.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2048630894,No,"The paper focuses on income mobility among individuals, using longitudinal data from South Africa to analyze factors that cause movement up and down the income distribution, rather than addressing inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
