,kind,node,score
0,RqType,Intergenerational Wealth Mobility and Inheritance,14.0
1,Measure,Regression‐based Measures,13.0
2,RqType,Empirical Estimates and Determinants,11.0
3,DataType,No dataset,10.0
4,DataType,Panel/Longitudinal Surveys,10.0
5,RqType,Measurement and Methodological Advances,9.0
6,Measure,Transition Matrix / Probability Measures,7.0
7,Measure,Others_Measure,6.0
8,DataType,Others_DataType,6.0
9,DataType,Administrative/Registry Data,5.0
10,DataType,Linked Administrative Data,5.0
11,Measure,Decomposition / Structural Approaches,4.0
12,DataType,National Survey Data,4.0
13,Measure,Absolute Mobility Measures,3.0
14,Measure,Rank‐based Measures,3.0
15,DataType,Archival/Historical Data,3.0
16,DataType,International Panel Data,3.0
17,Measure,Multigenerational Measures,2.0
18,Measure,Non‐parametric Approaches,2.0
19,RqType,Theoretical and Structural Models,2.0
20,RqType,"Policy, Institutional, and Geographic Impacts",2.0
21,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
22,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
23,DataType,Pseudo-Panel/Household Budget Survey,0.0
24,DataType,Natural/Experimental Data,0.0
25,DataType,Opportunity Atlas,0.0
26,RqType,Perceptions of Mobility and Attitudes,0.0
27,RqType,Others_RqType,0.0
28,DataType,University/Institution Data,0.0
29,DataType,Big Data,0.0
