key,year,identifier,paper_count,ew
Absolute Mobility Measures,1976,appeared,1,1.0
Absolute Mobility Measures,1977,filled,0,0.8705505632961241
Absolute Mobility Measures,1978,filled,0,0.757858283255199
Absolute Mobility Measures,1979,filled,0,0.6597539553864471
Absolute Mobility Measures,1980,filled,0,0.5743491774985174
Absolute Mobility Measures,1981,filled,0,0.49999999999999994
Absolute Mobility Measures,1982,filled,0,0.435275281648062
Absolute Mobility Measures,1983,filled,0,0.37892914162759944
Absolute Mobility Measures,1984,filled,0,0.3298769776932235
Absolute Mobility Measures,1985,filled,0,0.28717458874925866
Absolute Mobility Measures,1986,appeared,1,1.2871745887492587
Absolute Mobility Measures,1987,filled,0,1.1205505632961241
Absolute Mobility Measures,1988,filled,0,0.97549592407923
Absolute Mobility Measures,1989,filled,0,0.8492185262002468
Absolute Mobility Measures,1990,filled,0,0.7392876663451292
Absolute Mobility Measures,1991,filled,0,0.6435872943746292
Absolute Mobility Measures,1992,filled,0,0.560275281648062
Absolute Mobility Measures,1993,filled,0,0.4877479620396149
Absolute Mobility Measures,1994,filled,0,0.4246092631001233
Absolute Mobility Measures,1995,filled,0,0.3696438331725645
Absolute Mobility Measures,1996,filled,0,0.32179364718731457
Absolute Mobility Measures,1997,filled,0,0.2801376408240309
Absolute Mobility Measures,1998,filled,0,0.24387398101980742
Absolute Mobility Measures,1999,filled,0,0.21230463155006163
Absolute Mobility Measures,2000,filled,0,0.18482191658628225
Absolute Mobility Measures,2001,filled,0,0.16089682359365728
Absolute Mobility Measures,2002,appeared,1,1.1608968235936572
Absolute Mobility Measures,2003,filled,0,1.0106193837081394
Absolute Mobility Measures,2004,appeared,1,2.010619383708139
Absolute Mobility Measures,2005,filled,0,1.7503458370612266
Absolute Mobility Measures,2006,filled,0,1.5237645544166767
Absolute Mobility Measures,2007,filled,0,1.3265140911781055
Absolute Mobility Measures,2008,appeared,1,2.3265140911781055
Absolute Mobility Measures,2009,filled,0,2.02534815259147
Absolute Mobility Measures,2010,appeared,1,3.02534815259147
Absolute Mobility Measures,2011,filled,0,2.6337185384053927
Absolute Mobility Measures,2012,appeared,1,3.6337185384053927
Absolute Mobility Measures,2013,appeared,1,4.633718538405393
Absolute Mobility Measures,2014,appeared,1,5.633718538405393
