key1,key2,year,identifier,paper_count,ew
Absolute Mobility Measures,Administrative/Registry Data,1976,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1977,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1978,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1979,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1980,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1981,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1982,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1983,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1984,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1985,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1986,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1987,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1988,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1989,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1990,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1991,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1992,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1993,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1994,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1995,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1996,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1997,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1998,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,1999,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2000,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2001,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2002,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2003,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2004,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2005,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2006,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2007,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2008,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2009,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2010,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2011,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2012,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2013,filled,0,0.0
Absolute Mobility Measures,Administrative/Registry Data,2014,appeared,3,1.0
Absolute Mobility Measures,Administrative/Registry Data,2015,filled,0,0.8705505632961241
Absolute Mobility Measures,Administrative/Registry Data,2016,filled,0,0.757858283255199
Absolute Mobility Measures,Administrative/Registry Data,2017,filled,0,0.6597539553864471
Absolute Mobility Measures,Administrative/Registry Data,2018,filled,0,0.5743491774985174
Absolute Mobility Measures,Administrative/Registry Data,2019,appeared,3,1.5
Absolute Mobility Measures,Administrative/Registry Data,2020,filled,0,1.3058258449441862
Absolute Mobility Measures,Administrative/Registry Data,2021,filled,0,1.1367874248827985
Absolute Mobility Measures,Administrative/Registry Data,2022,filled,0,0.9896309330796706
Absolute Mobility Measures,Administrative/Registry Data,2023,filled,0,0.8615237662477762
Absolute Mobility Measures,Administrative/Registry Data,2024,appeared,3,1.75
Absolute Mobility Measures,Administrative/Registry Data,2025,filled,0,1.5234634857682172
Absolute Mobility Measures,Archival/Historical Data,1976,appeared,2,1.0
Absolute Mobility Measures,Archival/Historical Data,1977,filled,0,0.8705505632961241
Absolute Mobility Measures,Archival/Historical Data,1978,filled,0,0.757858283255199
Absolute Mobility Measures,Archival/Historical Data,1979,filled,0,0.6597539553864471
Absolute Mobility Measures,Archival/Historical Data,1980,filled,0,0.5743491774985174
