,id,domain_id,domain_name
0,https://openalex.org/W100816370,https://openalex.org/domains/3,Physical Sciences
1,https://openalex.org/W114020320,https://openalex.org/domains/3,Physical Sciences
2,https://openalex.org/W11888872,https://openalex.org/domains/3,Physical Sciences
3,https://openalex.org/W129213245,https://openalex.org/domains/3,Physical Sciences
4,https://openalex.org/W1443338233,https://openalex.org/domains/4,Health Sciences
5,https://openalex.org/W1479912268,https://openalex.org/domains/3,Physical Sciences
6,https://openalex.org/W1486780719,https://openalex.org/domains/3,Physical Sciences
7,https://openalex.org/W1504316199,https://openalex.org/domains/4,Health Sciences
8,https://openalex.org/W1505656569,https://openalex.org/domains/3,Physical Sciences
9,https://openalex.org/W1512757349,https://openalex.org/domains/4,Health Sciences
10,https://openalex.org/W1526021467,https://openalex.org/domains/3,Physical Sciences
11,https://openalex.org/W153460651,https://openalex.org/domains/3,Physical Sciences
12,https://openalex.org/W1547303043,https://openalex.org/domains/4,Health Sciences
13,https://openalex.org/W1549868888,https://openalex.org/domains/3,Physical Sciences
14,https://openalex.org/W1559533465,https://openalex.org/domains/4,Health Sciences
15,https://openalex.org/W1582569793,https://openalex.org/domains/1,Life Sciences
16,https://openalex.org/W1583109046,https://openalex.org/domains/3,Physical Sciences
17,https://openalex.org/W1591160255,https://openalex.org/domains/3,Physical Sciences
18,https://openalex.org/W1593332608,https://openalex.org/domains/3,Physical Sciences
19,https://openalex.org/W1600139126,https://openalex.org/domains/3,Physical Sciences
20,https://openalex.org/W1629569801,https://openalex.org/domains/4,Health Sciences
21,https://openalex.org/W1646450557,https://openalex.org/domains/4,Health Sciences
22,https://openalex.org/W1682574232,https://openalex.org/domains/3,Physical Sciences
23,https://openalex.org/W1691786170,https://openalex.org/domains/4,Health Sciences
24,https://openalex.org/W1696350913,https://openalex.org/domains/3,Physical Sciences
25,https://openalex.org/W1726513145,https://openalex.org/domains/1,Life Sciences
26,https://openalex.org/W1748579670,https://openalex.org/domains/4,Health Sciences
27,https://openalex.org/W182364819,https://openalex.org/domains/3,Physical Sciences
28,https://openalex.org/W1828343074,https://openalex.org/domains/3,Physical Sciences
29,https://openalex.org/W1859487307,https://openalex.org/domains/4,Health Sciences
30,https://openalex.org/W1900724765,https://openalex.org/domains/4,Health Sciences
31,https://openalex.org/W1904566969,https://openalex.org/domains/3,Physical Sciences
32,https://openalex.org/W1908648057,https://openalex.org/domains/3,Physical Sciences
33,https://openalex.org/W19208998,https://openalex.org/domains/3,Physical Sciences
34,https://openalex.org/W1963491488,https://openalex.org/domains/3,Physical Sciences
