node,iter,seed,x,y
Regression‐based Measures,100,27,-0.14302595543387328,0.16810095534369845
Regression‐based Measures,100,28,0.23321743848943194,0.10903888657657798
Regression‐based Measures,100,29,-0.1727219939225062,0.13201263582090503
Regression‐based Measures,100,30,-0.0964193169709417,0.3760696672278138
Regression‐based Measures,100,31,0.20417715514428728,-0.08809530720229503
Regression‐based Measures,100,32,-0.003165874396377136,-0.2591047883800487
Regression‐based Measures,100,33,0.24710309092845828,-0.05017166743546383
Regression‐based Measures,100,34,0.09764574516542325,-0.047544678917692325
Regression‐based Measures,100,35,-0.010764747998874754,0.2746547055572025
Regression‐based Measures,100,36,0.22312220325523652,0.22031384715530275
Regression‐based Measures,100,37,0.03670715655366122,0.007173706003395906
Regression‐based Measures,100,38,-0.4128594227254967,0.0657908386156529
Regression‐based Measures,100,39,0.03635228725463031,0.10489218111144909
Regression‐based Measures,100,40,0.13846838944133058,-0.05151731978748701
Regression‐based Measures,100,41,-0.193912465515827,0.0939142220547644
Regression‐based Measures,100,42,0.15724758757136512,0.267544940655756
Regression‐based Measures,100,43,0.07069694211251112,-0.22744854020932792
Regression‐based Measures,100,44,-0.11792280195090526,0.1935201192520063
Regression‐based Measures,100,45,-0.02876365026070066,-0.0546449654266645
Regression‐based Measures,100,46,-0.17000674438079622,-0.30177233162113676
Regression‐based Measures,100,47,-0.15307137108535526,0.045928032980011614
Regression‐based Measures,500,27,-0.05512060034901685,0.12709639362140454
Regression‐based Measures,500,28,0.12197465732475746,0.0029391167360490744
Regression‐based Measures,500,29,-0.3089462067051264,-0.01026385240156703
Regression‐based Measures,500,30,-0.06898866295734854,0.37566166106941157
Regression‐based Measures,500,31,0.09599380311198825,-0.024356535027136576
Regression‐based Measures,500,32,0.014266653565640263,-0.20015126370955075
Regression‐based Measures,500,33,0.24775742608683965,-0.05826311341189859
Regression‐based Measures,500,34,0.15177509431271685,-0.003135644754871894
Regression‐based Measures,500,35,-0.022078133341693174,0.27013504585254566
Regression‐based Measures,500,36,0.21201560858245855,0.1117101548714319
Regression‐based Measures,500,37,0.011306580084120735,-0.025379585576081675
Regression‐based Measures,500,38,-0.43315318271794623,0.16278084114718738
Regression‐based Measures,500,39,0.10854280159329785,0.03817332644575446
Regression‐based Measures,500,40,0.25644448230117456,0.010666291221128454
Regression‐based Measures,500,41,-0.05226021417104228,-0.20161923032387621
Regression‐based Measures,500,42,0.23870655659799528,0.03006428690513191
Regression‐based Measures,500,43,0.21822858862792335,-0.18420766534545036
Regression‐based Measures,500,44,-0.06852562785379272,0.12177355976207382
Regression‐based Measures,500,45,-0.2638939102209025,-0.15230083238444664
Regression‐based Measures,500,46,-0.22005127118891896,-0.213760989062955
