,kind,node,score
0,Measure,Regression‐based Measures,347.0
1,RqType,Intergenerational Wealth Mobility and Inheritance,170.0
2,DataType,No dataset,114.0
3,RqType,Empirical Estimates and Determinants,42.0
4,RqType,Measurement and Methodological Advances,39.0
5,DataType,Panel/Longitudinal Surveys,5.0
6,Measure,Transition Matrix / Probability Measures,2.0
7,DataType,Others_DataType,1.0
8,Measure,Absolute Mobility Measures,0.0
9,Measure,Decomposition / Structural Approaches,0.0
10,Measure,Others_Measure,0.0
11,Measure,Multigenerational Measures,0.0
12,Measure,Non‐parametric Approaches,0.0
13,Measure,Rank‐based Measures,0.0
14,DataType,Archival/Historical Data,0.0
15,DataType,Administrative/Registry Data,0.0
16,DataType,Linked Administrative Data,0.0
17,DataType,National Survey Data,0.0
18,DataType,International Panel Data,0.0
19,RqType,Theoretical and Structural Models,0.0
20,RqType,"Policy, Institutional, and Geographic Impacts",0.0
21,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.0
22,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.0
23,DataType,Pseudo-Panel/Household Budget Survey,0.0
24,DataType,Natural/Experimental Data,0.0
25,DataType,Opportunity Atlas,0.0
26,RqType,Perceptions of Mobility and Attitudes,0.0
27,RqType,Others_RqType,0.0
28,DataType,University/Institution Data,0.0
29,DataType,Big Data,0.0
