category,ids
Measurement & Methodology,"['887', '866', '881', '885', '974', '980', '987', '960', '1004', '962']"
Determinants and Family/Parental Factors,"['889', '895', '896', '884', '992', '946', '1002', '989']"
Role of Education & Human Capital,"['1001', '864', '1005']"
"Public Policy, Fiscal & Welfare Effects","['870', '940', '945', '988', '923', '975', '978']"
Geographic/Place Effects,"['848', '859', '877', '904', '997']"
Intergenerational Wealth Mobility,"['824', '837', '888', '968', '951', '969', '982']"
Occupational & Elite Mobility,"['839', '841', '854', '900', '937', '873']"
Racial/Ethnic/Gender Differences,"['850', '911', '912', '914', '921']"
Effects on Health & Wellbeing,"['835', '860', '874', '879', '996', '973', '924']"
Immigration/Migration Effects,"['891', '904', '921', '941', '872', '997']"
Theoretical Models / Reviews & Multigenerational Models,"['913', '908', '1003']"
International/Cross-Country Comparisons,"['830', '832', '833', '856', '934', '935', '972']"
Effects on Crime & Violence,"['954', '961', '986']"
Political & Attitudinal Effects,"['905', '975']"
Subjective Perceptions & Attitudes,['880']
Historical/Multigenerational Mobility,['938']
Poverty and Disadvantaged Group Mobility,"['915', '949']"
Country-Specific Studies,"{'US': ['825', '907', '939', '933'], 'Australia': ['843', '851', '909', '981'], 'France': ['840', '871', '926'], 'Japan': ['910', '911', '912', '993'], 'Korea': ['914'], 'Denmark': ['861', '984'], 'Germany': ['943', '990'], 'Britain': ['925'], 'Russia': ['931'], 'Spain': ['952'], 'Canada': ['930'], 'Indonesia': ['971'], 'Sweden': ['916', '936'], 'Norway': ['893', '894']}"
Others,[]
