,u,v,edge_betweenness,edge_betweenness_weighted
0,Absolute Mobility Measures,Administrative/Registry Data,0.008729495281219418,0.0
1,Absolute Mobility Measures,Empirical Estimates and Determinants,0.014252841666634769,0.041379310344827586
2,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.011612812474881438,0.0
3,Absolute Mobility Measures,Linked Administrative Data,0.01136761705727223,0.0
4,Absolute Mobility Measures,Measurement and Methodological Advances,0.012242540345988621,0.0
5,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.01053291536050157,0.0022988505747126436
6,Absolute Mobility Measures,National Survey Data,0.008942959977442735,0.0
7,Absolute Mobility Measures,No dataset,0.00962714169610721,0.0
8,Absolute Mobility Measures,Opportunity Atlas,0.03223565706324327,0.0022988505747126436
9,Absolute Mobility Measures,Others_DataType,0.011171484964588413,0.0
10,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.009242258380189414,0.013793103448275862
11,Absolute Mobility Measures,Perceptions of Mobility and Attitudes,0.016889910855428097,0.0
12,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts",0.010051111085593843,0.0
13,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.008839793667379874,0.004597701149425287
14,Administrative/Registry Data,Empirical Estimates and Determinants,0.007701921322610977,0.0
15,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.008587791518826,0.0
16,Administrative/Registry Data,Measurement and Methodological Advances,0.007371829958036854,0.0
17,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",0.009548605927916272,0.0
18,Archival/Historical Data,Empirical Estimates and Determinants,0.018649179683662438,0.0
19,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.014140878278809313,0.022988505747126436
20,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",0.011360644464092736,0.0
21,Decomposition / Structural Approaches,Administrative/Registry Data,0.007542502197674611,0.0
22,Decomposition / Structural Approaches,Empirical Estimates and Determinants,0.010732473146266248,0.0
23,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.008168616185857566,0.05517241379310345
24,Decomposition / Structural Approaches,Linked Administrative Data,0.007193113400009952,0.0
25,Decomposition / Structural Approaches,National Survey Data,0.00900938780249125,0.0
26,Decomposition / Structural Approaches,Natural/Experimental Data,0.011166840822013238,0.0
27,Decomposition / Structural Approaches,No dataset,0.007405292663913353,0.0022988505747126436
28,Decomposition / Structural Approaches,Others_DataType,0.007701688477550547,0.0
29,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,0.009014488066212202,0.0
30,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",0.009822195684264647,0.0
31,Decomposition / Structural Approaches,Theoretical and Structural Models,0.008534109568592328,0.0022988505747126436
32,International Panel Data,Empirical Estimates and Determinants,0.01735632183908046,0.011494252873563218
33,International Panel Data,Measurement and Methodological Advances,0.011532567049808429,0.0
34,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.007881939261249606,0.0
35,Linked Administrative Data,Empirical Estimates and Determinants,0.00801482042861353,0.0
36,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,0.00909226150605461,0.011494252873563218
37,Linked Administrative Data,Measurement and Methodological Advances,0.007684729064039409,0.0
