,u,v,edge_betweenness,edge_betweenness_weighted
0,Absolute Mobility Measures,Archival/Historical Data,0.009272030651340996,0.0022988505747126436
1,Absolute Mobility Measures,Empirical Estimates and Determinants,0.01647509578544061,0.010344827586206896
2,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.016091954022988502,0.017241379310344827
3,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.011954022988505748,0.009195402298850575
4,Administrative/Registry Data,Empirical Estimates and Determinants,0.018199233716475093,0.01264367816091954
5,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.02980842911877395,0.0367816091954023
6,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.028812260536398463,0.0
7,Decomposition / Structural Approaches,No dataset,0.014176245210727969,0.0367816091954023
8,Decomposition / Structural Approaches,Theoretical and Structural Models,0.008505747126436782,0.0022988505747126436
9,Linked Administrative Data,Empirical Estimates and Determinants,0.018199233716475093,0.01264367816091954
10,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,0.027892720306513408,0.0367816091954023
11,Multigenerational Measures,National Survey Data,0.011187739463601534,0.0022988505747126436
12,National Survey Data,Empirical Estimates and Determinants,0.01157088122605364,0.0
13,National Survey Data,Intergenerational Wealth Mobility and Inheritance,0.015095785440613026,0.034482758620689655
14,No dataset,Empirical Estimates and Determinants,0.021417624521072796,0.022988505747126436
15,No dataset,Intergenerational Wealth Mobility and Inheritance,0.01946360153256705,0.07662835249042146
16,No dataset,Measurement and Methodological Advances,0.01114942528735632,0.00996168582375479
17,No dataset,Theoretical and Structural Models,0.030574712643678163,0.0367816091954023
18,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,0.023371647509578538,0.01954022988505747
19,Non‐parametric Approaches,Panel/Longitudinal Surveys,0.015708812260536397,0.01954022988505747
20,Others_Measure,Intergenerational Wealth Mobility and Inheritance,0.021800766283524897,0.0
21,Others_Measure,Measurement and Methodological Advances,0.007432950191570881,0.0022988505747126436
22,Others_Measure,No dataset,0.012835249042145593,0.0367816091954023
23,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",0.0210727969348659,0.0367816091954023
24,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,0.01367816091954023,0.006896551724137931
25,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,0.01689655172413793,0.04674329501915708
26,Panel/Longitudinal Surveys,Measurement and Methodological Advances,0.015632183908045976,0.014559386973180075
27,Regression‐based Measures,Administrative/Registry Data,0.02088122605363985,0.026436781609195402
28,Regression‐based Measures,Empirical Estimates and Determinants,0.004674329501915708,0.01839080459770115
29,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,0.024559386973180077,0.03984674329501915
30,Regression‐based Measures,Linked Administrative Data,0.02088122605363985,0.026436781609195402
31,Regression‐based Measures,Measurement and Methodological Advances,0.013831417624521072,0.012260536398467432
32,Regression‐based Measures,National Survey Data,0.012107279693486588,0.0
33,Regression‐based Measures,No dataset,0.016130268199233716,0.01839080459770115
34,Regression‐based Measures,Panel/Longitudinal Surveys,0.01375478927203065,0.020689655172413793
35,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",0.01800766283524904,0.0022988505747126436
36,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,0.01118773946360153,0.014942528735632184
37,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,0.01482758620689655,0.0
38,Transition Matrix / Probability Measures,National Survey Data,0.008582375478927203,0.0022988505747126436
39,Transition Matrix / Probability Measures,No dataset,0.01632183908045977,0.004597701149425287
40,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,0.007241379310344827,0.014942528735632184
