,u,v,edge_betweenness,edge_betweenness_weighted
0,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.022605363984674335,0.05057471264367816
1,Absolute Mobility Measures,No dataset,0.0137383689107827,0.0
2,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.014887794198139022,0.0
3,Administrative/Registry Data,Empirical Estimates and Determinants,0.01064959944270289,0.0
4,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.01703529548357135,0.0
5,Administrative/Registry Data,Measurement and Methodological Advances,0.009220945083014048,0.0
6,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.0242911877394636,0.04827586206896552
7,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.02793103448275862,0.0
8,Decomposition / Structural Approaches,No dataset,0.01143951833607006,0.04827586206896552
9,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,0.02063492063492063,0.0
10,Decomposition / Structural Approaches,Theoretical and Structural Models,0.013371647509578543,0.0022988505747126436
11,International Panel Data,Empirical Estimates and Determinants,0.014002089864158832,0.0
12,International Panel Data,Intergenerational Wealth Mobility and Inheritance,0.020323928944618597,0.0
13,Linked Administrative Data,Empirical Estimates and Determinants,0.00939070508036025,0.0
14,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,0.020910500738086944,0.013793103448275862
15,Linked Administrative Data,Measurement and Methodological Advances,0.01217661010764459,0.0
16,Multigenerational Measures,Archival/Historical Data,0.005445257169395099,0.0022988505747126436
17,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,0.04512945547428305,0.04827586206896552
18,National Survey Data,Empirical Estimates and Determinants,0.01132009752699408,0.004597701149425287
19,National Survey Data,Intergenerational Wealth Mobility and Inheritance,0.017526994078718217,0.0
20,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",0.029704433497536945,0.04597701149425287
21,No dataset,Empirical Estimates and Determinants,0.01977384684281236,0.0
22,No dataset,Intergenerational Wealth Mobility and Inheritance,0.01964613292199499,0.0
23,No dataset,Measurement and Methodological Advances,0.02010764459040321,0.0
