,u,v,edge_betweenness,edge_betweenness_weighted
0,Absolute Mobility Measures,Administrative/Registry Data,0.007195850126884609,0.0
1,Absolute Mobility Measures,Big Data,0.01283898094242922,0.0
2,Absolute Mobility Measures,Empirical Estimates and Determinants,0.007504270952546815,0.059770114942528735
3,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.015030269857856068,0.0
4,Absolute Mobility Measures,Linked Administrative Data,0.007389245492693767,0.0
5,Absolute Mobility Measures,Measurement and Methodological Advances,0.01107669469738435,0.0
6,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.009782969265727888,0.0022988505747126436
7,Absolute Mobility Measures,National Survey Data,0.01018253138942794,0.0
8,Absolute Mobility Measures,Natural/Experimental Data,0.00896103896103896,0.0
9,Absolute Mobility Measures,Others_DataType,0.00693677331608366,0.0
10,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.007389245492693767,0.0
11,Administrative/Registry Data,Empirical Estimates and Determinants,0.007212353419249971,0.013793103448275862
12,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.011158713572506676,0.011494252873563218
13,Administrative/Registry Data,Measurement and Methodological Advances,0.007806223151050737,0.0
14,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",0.006465226982468361,0.0
15,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.026819923371647507,0.059770114942528735
16,Big Data,Empirical Estimates and Determinants,0.021168582375478924,0.06206896551724138
17,Decomposition / Structural Approaches,Administrative/Registry Data,0.006687648239372376,0.0
18,Decomposition / Structural Approaches,Empirical Estimates and Determinants,0.010198039508384335,0.011494252873563218
19,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.015657809623326864,0.01839080459770115
20,Decomposition / Structural Approaches,Linked Administrative Data,0.008354314906039044,0.0
21,Decomposition / Structural Approaches,National Survey Data,0.009222769567597154,0.0
22,Decomposition / Structural Approaches,Natural/Experimental Data,0.0064094143404488215,0.0
23,Decomposition / Structural Approaches,No dataset,0.008118956394818463,0.029885057471264367
24,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,0.008354314906039042,0.0
25,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",0.0049773598049460115,0.0
26,Decomposition / Structural Approaches,Theoretical and Structural Models,0.010459770114942528,0.0022988505747126436
