,source,target,hops
0,Perceptions of Mobility and Attitudes,Absolute Mobility Measures,3.0
1,Others_RqType,Absolute Mobility Measures,3.0
2,Others_RqType,Decomposition / Structural Approaches,3.0
3,Theoretical and Structural Models,Multigenerational Measures,3.0
4,Natural/Experimental Data,Multigenerational Measures,3.0
5,Opportunity Atlas,Multigenerational Measures,3.0
6,Perceptions of Mobility and Attitudes,Multigenerational Measures,3.0
7,Others_RqType,Multigenerational Measures,3.0
8,Theoretical and Structural Models,Non‐parametric Approaches,3.0
9,Perceptions of Mobility and Attitudes,Non‐parametric Approaches,3.0
10,Theoretical and Structural Models,Rank‐based Measures,3.0
11,Perceptions of Mobility and Attitudes,Rank‐based Measures,3.0
12,"Demographic Differences in Mobility (Race, Gender, etc.)",Archival/Historical Data,3.0
13,Perceptions of Mobility and Attitudes,Archival/Historical Data,3.0
14,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_DataType,3.0
15,Perceptions of Mobility and Attitudes,Linked Administrative Data,3.0
16,"Demographic Differences in Mobility (Race, Gender, etc.)",International Panel Data,3.0
17,Perceptions of Mobility and Attitudes,International Panel Data,3.0
18,Multigenerational Measures,Theoretical and Structural Models,3.0
19,Non‐parametric Approaches,Theoretical and Structural Models,3.0
20,Rank‐based Measures,Theoretical and Structural Models,3.0
21,Archival/Historical Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
22,Others_DataType,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
23,International Panel Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
24,Pseudo-Panel/Household Budget Survey,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
25,Natural/Experimental Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
26,Opportunity Atlas,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
27,"Demographic Differences in Mobility (Race, Gender, etc.)",Pseudo-Panel/Household Budget Survey,3.0
28,Perceptions of Mobility and Attitudes,Pseudo-Panel/Household Budget Survey,3.0
29,Multigenerational Measures,Natural/Experimental Data,3.0
30,"Demographic Differences in Mobility (Race, Gender, etc.)",Natural/Experimental Data,3.0
31,Perceptions of Mobility and Attitudes,Natural/Experimental Data,3.0
32,Multigenerational Measures,Opportunity Atlas,3.0
33,"Demographic Differences in Mobility (Race, Gender, etc.)",Opportunity Atlas,3.0
34,Perceptions of Mobility and Attitudes,Opportunity Atlas,3.0
35,Absolute Mobility Measures,Perceptions of Mobility and Attitudes,3.0
36,Multigenerational Measures,Perceptions of Mobility and Attitudes,3.0
37,Non‐parametric Approaches,Perceptions of Mobility and Attitudes,3.0
38,Rank‐based Measures,Perceptions of Mobility and Attitudes,3.0
39,Archival/Historical Data,Perceptions of Mobility and Attitudes,3.0
40,Linked Administrative Data,Perceptions of Mobility and Attitudes,3.0
41,International Panel Data,Perceptions of Mobility and Attitudes,3.0
42,Pseudo-Panel/Household Budget Survey,Perceptions of Mobility and Attitudes,3.0
43,Natural/Experimental Data,Perceptions of Mobility and Attitudes,3.0
44,Opportunity Atlas,Perceptions of Mobility and Attitudes,3.0
45,Others_RqType,Perceptions of Mobility and Attitudes,3.0
46,Absolute Mobility Measures,Others_RqType,3.0
47,Decomposition / Structural Approaches,Others_RqType,3.0
48,Multigenerational Measures,Others_RqType,3.0
49,Perceptions of Mobility and Attitudes,Others_RqType,3.0
50,Panel/Longitudinal Surveys,Others_RqType,2.0
51,National Survey Data,Others_RqType,2.0
52,International Panel Data,Others_RqType,2.0
53,Intergenerational Wealth Mobility and Inheritance,Others_RqType,2.0
54,Theoretical and Structural Models,Others_RqType,2.0
55,Empirical Estimates and Determinants,Others_RqType,2.0
56,Measurement and Methodological Advances,Others_RqType,2.0
57,"Policy, Institutional, and Geographic Impacts",Others_RqType,2.0
58,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_RqType,2.0
59,Pseudo-Panel/Household Budget Survey,Others_RqType,2.0
60,Natural/Experimental Data,Others_RqType,2.0
61,Opportunity Atlas,Others_RqType,2.0
62,International Panel Data,Transition Matrix / Probability Measures,2.0
63,Measurement and Methodological Advances,Transition Matrix / Probability Measures,2.0
64,"Policy, Institutional, and Geographic Impacts",Transition Matrix / Probability Measures,2.0
65,Pseudo-Panel/Household Budget Survey,Transition Matrix / Probability Measures,2.0
66,Natural/Experimental Data,Transition Matrix / Probability Measures,2.0
