,source,target,hops
0,Natural/Experimental Data,Transition Matrix / Probability Measures,3.0
1,Opportunity Atlas,Transition Matrix / Probability Measures,3.0
2,International Panel Data,Multigenerational Measures,3.0
3,Theoretical and Structural Models,Multigenerational Measures,3.0
4,Measurement and Methodological Advances,Multigenerational Measures,3.0
5,"Demographic Differences in Mobility (Race, Gender, etc.)",Multigenerational Measures,3.0
6,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Multigenerational Measures,3.0
7,Perceptions of Mobility and Attitudes,Multigenerational Measures,3.0
8,University/Institution Data,Multigenerational Measures,3.0
9,Natural/Experimental Data,Non‐parametric Approaches,3.0
10,Opportunity Atlas,Non‐parametric Approaches,3.0
11,Perceptions of Mobility and Attitudes,Non‐parametric Approaches,3.0
12,University/Institution Data,Non‐parametric Approaches,3.0
13,Opportunity Atlas,Rank‐based Measures,3.0
14,Perceptions of Mobility and Attitudes,Archival/Historical Data,3.0
15,Multigenerational Measures,International Panel Data,3.0
16,Opportunity Atlas,International Panel Data,3.0
17,Multigenerational Measures,Theoretical and Structural Models,3.0
18,Opportunity Atlas,Theoretical and Structural Models,3.0
19,Multigenerational Measures,Measurement and Methodological Advances,3.0
20,Multigenerational Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
21,Opportunity Atlas,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
22,Multigenerational Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",3.0
23,Transition Matrix / Probability Measures,Natural/Experimental Data,3.0
24,Non‐parametric Approaches,Natural/Experimental Data,3.0
25,Transition Matrix / Probability Measures,Opportunity Atlas,3.0
26,Non‐parametric Approaches,Opportunity Atlas,3.0
27,Rank‐based Measures,Opportunity Atlas,3.0
28,International Panel Data,Opportunity Atlas,3.0
29,Theoretical and Structural Models,Opportunity Atlas,3.0
30,"Demographic Differences in Mobility (Race, Gender, etc.)",Opportunity Atlas,3.0
31,University/Institution Data,Opportunity Atlas,3.0
32,Multigenerational Measures,Perceptions of Mobility and Attitudes,3.0
33,Non‐parametric Approaches,Perceptions of Mobility and Attitudes,3.0
34,Archival/Historical Data,Perceptions of Mobility and Attitudes,3.0
35,Multigenerational Measures,University/Institution Data,3.0
36,Non‐parametric Approaches,University/Institution Data,3.0
37,Opportunity Atlas,University/Institution Data,3.0
38,"Demographic Differences in Mobility (Race, Gender, etc.)",Perceptions of Mobility and Attitudes,2.0
39,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Perceptions of Mobility and Attitudes,2.0
40,Opportunity Atlas,Perceptions of Mobility and Attitudes,2.0
41,University/Institution Data,Perceptions of Mobility and Attitudes,2.0
42,Absolute Mobility Measures,University/Institution Data,2.0
43,Decomposition / Structural Approaches,University/Institution Data,2.0
44,Regression‐based Measures,University/Institution Data,2.0
45,Rank‐based Measures,University/Institution Data,2.0
