,source,target,hops
0,Non‐parametric Approaches,Absolute Mobility Measures,3.0
1,Non‐parametric Approaches,Decomposition / Structural Approaches,3.0
2,"Policy, Institutional, and Geographic Impacts",Others_Measure,3.0
3,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Others_Measure,3.0
4,Non‐parametric Approaches,Multigenerational Measures,3.0
5,Rank‐based Measures,Multigenerational Measures,3.0
6,Theoretical and Structural Models,Multigenerational Measures,3.0
7,Empirical Estimates and Determinants,Multigenerational Measures,3.0
8,Measurement and Methodological Advances,Multigenerational Measures,3.0
9,"Policy, Institutional, and Geographic Impacts",Multigenerational Measures,3.0
10,"Demographic Differences in Mobility (Race, Gender, etc.)",Multigenerational Measures,3.0
11,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Multigenerational Measures,3.0
12,Absolute Mobility Measures,Non‐parametric Approaches,3.0
13,Decomposition / Structural Approaches,Non‐parametric Approaches,3.0
14,Multigenerational Measures,Non‐parametric Approaches,3.0
15,Rank‐based Measures,Non‐parametric Approaches,3.0
16,Archival/Historical Data,Non‐parametric Approaches,3.0
17,National Survey Data,Non‐parametric Approaches,3.0
18,International Panel Data,Non‐parametric Approaches,3.0
19,Theoretical and Structural Models,Non‐parametric Approaches,3.0
20,"Policy, Institutional, and Geographic Impacts",Non‐parametric Approaches,3.0
21,"Demographic Differences in Mobility (Race, Gender, etc.)",Non‐parametric Approaches,3.0
22,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Non‐parametric Approaches,3.0
23,Multigenerational Measures,Rank‐based Measures,3.0
24,Non‐parametric Approaches,Rank‐based Measures,3.0
25,Archival/Historical Data,Rank‐based Measures,3.0
26,Theoretical and Structural Models,Rank‐based Measures,3.0
27,"Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,3.0
28,Non‐parametric Approaches,Archival/Historical Data,3.0
29,Rank‐based Measures,Archival/Historical Data,3.0
30,Theoretical and Structural Models,Archival/Historical Data,3.0
31,"Demographic Differences in Mobility (Race, Gender, etc.)",Archival/Historical Data,3.0
32,Theoretical and Structural Models,Administrative/Registry Data,3.0
