citing_cluster_simple,cited_cluster_simple,citations,citing_measure,cited_measure
5,5,51,Regression‐based Measures,Regression‐based Measures
5,5,21,Rank‐based Measures,Regression‐based Measures
5,5,6,Absolute Mobility Measures,Regression‐based Measures
5,5,6,Transition Matrix / Probability Measures,Regression‐based Measures
5,6,5,Regression‐based Measures,Regression‐based Measures
5,6,3,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures
5,6,3,Rank‐based Measures,Transition Matrix / Probability Measures
5,6,3,Regression‐based Measures,Transition Matrix / Probability Measures
5,6,1,Absolute Mobility Measures,Transition Matrix / Probability Measures
5,6,2,Decomposition / Structural Approaches,Transition Matrix / Probability Measures
5,6,4,Non‐parametric Approaches,Transition Matrix / Probability Measures
5,6,3,Others,Transition Matrix / Probability Measures
5,6,3,Transition Matrix / Probability Measures,Rank‐based Measures
5,6,2,Rank‐based Measures,Rank‐based Measures
5,6,1,Regression‐based Measures,Decomposition / Structural Approaches
5,6,1,Decomposition / Structural Approaches,Decomposition / Structural Approaches
5,6,4,Non‐parametric Approaches,Rank‐based Measures
5,6,3,Others,Rank‐based Measures
5,6,1,Decomposition / Structural Approaches,Rank‐based Measures
5,6,2,Regression‐based Measures,Rank‐based Measures
5,6,3,Absolute Mobility Measures,Regression‐based Measures
5,6,1,Transition Matrix / Probability Measures,Regression‐based Measures
5,6,1,Rank‐based Measures,Regression‐based Measures
5,6,1,Decomposition / Structural Approaches,Regression‐based Measures
5,6,1,Others,Regression‐based Measures
5,6,3,Regression‐based Measures,Absolute Mobility Measures
5,6,1,Absolute Mobility Measures,Absolute Mobility Measures
6,0,5,Rank‐based Measures,Regression‐based Measures
6,0,1,Regression‐based Measures,Decomposition / Structural Approaches
6,0,1,Decomposition / Structural Approaches,Decomposition / Structural Approaches
6,0,5,Absolute Mobility Measures,Regression‐based Measures
6,0,15,Regression‐based Measures,Regression‐based Measures
6,0,9,Transition Matrix / Probability Measures,Regression‐based Measures
6,0,9,Decomposition / Structural Approaches,Regression‐based Measures
6,1,3,Regression‐based Measures,Regression‐based Measures
6,1,2,Transition Matrix / Probability Measures,Regression‐based Measures
6,1,1,Rank‐based Measures,Regression‐based Measures
6,1,3,Regression‐based Measures,Decomposition / Structural Approaches
6,1,3,Transition Matrix / Probability Measures,Decomposition / Structural Approaches
6,1,4,Rank‐based Measures,Decomposition / Structural Approaches
6,1,3,Decomposition / Structural Approaches,Decomposition / Structural Approaches
6,3,3,Decomposition / Structural Approaches,Regression‐based Measures
6,3,1,Transition Matrix / Probability Measures,Regression‐based Measures
6,3,1,Transition Matrix / Probability Measures,Rank‐based Measures
6,3,1,Rank‐based Measures,Rank‐based Measures
6,3,2,Regression‐based Measures,Rank‐based Measures
6,3,1,Decomposition / Structural Approaches,Rank‐based Measures
6,3,1,Rank‐based Measures,Regression‐based Measures
6,3,2,Regression‐based Measures,Regression‐based Measures
6,3,1,Decomposition / Structural Approaches,Others
6,4,1,Regression‐based Measures,Rank‐based Measures
6,4,1,Regression‐based Measures,Others
6,4,1,Regression‐based Measures,Regression‐based Measures
6,6,2,Absolute Mobility Measures,Regression‐based Measures
6,6,2,Decomposition / Structural Approaches,Regression‐based Measures
6,6,2,Regression‐based Measures,Regression‐based Measures
6,6,1,Transition Matrix / Probability Measures,Regression‐based Measures
6,6,2,Regression‐based Measures,Absolute Mobility Measures
6,6,1,Absolute Mobility Measures,Absolute Mobility Measures
6,6,1,Decomposition / Structural Approaches,Decomposition / Structural Approaches
6,6,2,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures
6,6,2,Rank‐based Measures,Transition Matrix / Probability Measures
6,6,1,Absolute Mobility Measures,Rank‐based Measures
6,6,1,Others,Rank‐based Measures
6,6,3,Regression‐based Measures,Transition Matrix / Probability Measures
6,6,1,Decomposition / Structural Approaches,Transition Matrix / Probability Measures
6,6,1,Absolute Mobility Measures,Transition Matrix / Probability Measures
6,6,1,Others,Transition Matrix / Probability Measures
6,6,2,Transition Matrix / Probability Measures,Rank‐based Measures
6,6,2,Rank‐based Measures,Rank‐based Measures
6,6,3,Regression‐based Measures,Rank‐based Measures
