,std_x,std_y,avg_disp
Pseudo-Panel/Household Budget Survey,0.8412724244013927,0.6965762094923825,1.0852316308713745
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.5509390735061482,0.49288788541795625,0.7310567417941628
Perceptions of Mobility and Attitudes,0.5172593149997324,0.504278782129752,0.7180063117207778
Natural/Experimental Data,0.573674181753517,0.40475192346376765,0.690676850563411
Big Data,0.38275965557857866,0.5688967622671826,0.6755705662905269
Others_RqType,0.46173928493177563,0.52660712549773,0.6695114026463571
International Panel Data,0.5016482827853168,0.44941833675389053,0.6605521600474469
University/Institution Data,0.4829744414718561,0.41692847226054125,0.6252944534316187
Theoretical and Structural Models,0.4419442871496593,0.4518049427569561,0.6238233949793313
Multigenerational Measures,0.40981286952041646,0.4669222786999889,0.5900099485960977
Others_DataType,0.42337127292955645,0.42562895541124984,0.5853233920378126
Archival/Historical Data,0.44959478703920075,0.3819026265037498,0.5739137633403331
Opportunity Atlas,0.3554090676432261,0.421619382758353,0.5251348081904321
Decomposition / Structural Approaches,0.3954382196552856,0.34710286437665905,0.519763419483983
"Demographic Differences in Mobility (Race, Gender, etc.)",0.3843534633733545,0.3496191118574268,0.49575618438637226
No dataset,0.34259022799564953,0.3810982418914925,0.493056509440221
Administrative/Registry Data,0.3199058475483118,0.3734223191975597,0.4834967799068311
Measurement and Methodological Advances,0.2833582035715159,0.35345520978267597,0.43869086404964397
"Policy, Institutional, and Geographic Impacts",0.3094425921404898,0.3149020723959521,0.42052064622351876
Absolute Mobility Measures,0.34267369477151516,0.29276474131499935,0.4166878273308021
Linked Administrative Data,0.2736255594839472,0.28123797829549346,0.3877711165613574
Transition Matrix / Probability Measures,0.27431707810827655,0.2814012607780664,0.3752757857774245
National Survey Data,0.28483643443688583,0.26022730165697033,0.36833553734337826
Intergenerational Wealth Mobility and Inheritance,0.2561720085215439,0.23270158643571706,0.32940244502729193
Others_Measure,0.2443665676180644,0.22784030617318443,0.3124829598738523
Non‐parametric Approaches,0.23587750273748462,0.21269801850360567,0.2872828997894409
Empirical Estimates and Determinants,0.22453700964552925,0.19465881520078893,0.2759406524168699
Panel/Longitudinal Surveys,0.21092378804293976,0.17184575379497963,0.2487151902054297
Rank‐based Measures,0.1776918451908913,0.20094283646624467,0.2422229289625134
Regression‐based Measures,0.1917788629204623,0.1543479408623395,0.22488165560101184
