id,cost
0,0.0031317000000000003
1,0.0023309
2,0.0023914
3,0.0039556
4,0.0026389000000000004
5,0.0031614
6,0.0024002
7,0.0025762
8,0.0043274
9,0.008228000000000001
10,0.0036179000000000003
11,0.0031218
12,0.004030400000000001
13,0.0028083
14,0.005231600000000001
15,0.0022165000000000006
16,0.0034595000000000003
17,0.0038159
18,0.0018425
19,0.002761
20,0.0020229000000000002
21,0.0040447
22,0.0021505
23,0.005486800000000001
24,0.003157
25,0.0079453
26,0.0030976
27,0.0027687
28,0.0075163
29,0.004015
30,0.005181
31,0.005548399999999999
32,0.001826
33,0.0028765
34,0.0032681
35,0.0042988
36,0.0044088
37,0.0031669000000000003
38,0.008083900000000002
39,0.0028556000000000007
40,0.0035167
41,0.0024332
42,0.0032615
43,0.0025453999999999997
44,0.0070499000000000004
45,0.0017853
46,0.0025234
47,0.0042174
48,0.0028974000000000005
49,0.0031427
50,0.0016522000000000002
51,0.0051381000000000005
52,0.0051876
53,0.0021978
54,0.0055
55,0.0029942000000000002
56,0.0025443
57,0.0025399000000000003
58,0.00572
59,0.004584800000000001
60,0.0029447000000000006
61,0.0018128000000000003
62,0.007390900000000001
63,0.0048433
64,0.0070631
65,0.0034177000000000005
66,0.0023342000000000003
67,0.0033902000000000003
68,0.0026675
69,0.0018128000000000003
70,0.0034122
71,0.0027412000000000005
72,0.0041514
73,0.0020449
74,0.0030657
75,0.0020196
76,0.0036025000000000007
77,0.005112800000000001
78,0.0033572
79,0.0038104000000000002
80,0.0027269
81,0.0073095
82,0.0020009
83,0.005441700000000001
84,0.0025597
85,0.0061083000000000005
86,0.002816
87,0.0049973000000000005
88,0.0020361
89,0.0030987000000000002
90,0.0027852
91,0.0036839000000000004
92,0.0045947
93,0.0029392000000000003
94,0.0028523000000000003
95,0.0023419
96,0.0026213000000000005
97,0.0039512
98,0.0028380000000000002
99,0.0020438
100,0.0026191000000000005
101,0.0037554
102,0.0027412
103,0.0030888000000000005
104,0.0025322
105,0.0043560000000000005
106,0.004624400000000001
107,0.0022132000000000002
108,0.0029711
109,0.004678300000000001
110,0.0031405
111,0.0022561000000000005
112,0.0038720000000000004
113,0.0032406
114,0.0034705000000000005
115,0.0027247
116,0.0029392000000000003
117,0.0015488000000000001
118,0.0017336
119,0.0024959000000000005
120,0.0032758
121,0.0037598
122,0.005545100000000001
123,0.0028677000000000004
124,0.0023936
125,0.0019811
126,0.0020537000000000003
127,0.0052393000000000006
128,0.0030844
129,0.005338300000000001
130,0.0027632000000000004
131,0.0019899
132,0.0023012
133,0.0033935000000000002
134,0.0047707
135,0.0031482000000000003
136,0.0020383000000000003
137,0.004084300000000001
138,0.0038137
139,0.007570200000000001
140,0.0017270000000000002
141,0.0049115
142,0.0019789
143,0.0032978
144,0.0031152
145,0.0032208000000000002
146,0.0029777000000000007
147,0.0042768
148,0.0023969000000000004
149,0.0025278
150,0.0013838000000000001
151,0.006607700000000001
152,0.00209
153,0.0019789
154,0.0020801
155,0.0020405
156,0.0032571
157,0.004169
158,0.0032978000000000005
159,0.0018843000000000002
160,0.0014256000000000002
161,0.0025564000000000003
162,0.0033176000000000004
163,0.0028259000000000005
164,0.004545200000000001
165,0.00253
166,0.0024002
167,0.0019503000000000003
168,0.0045056
169,0.0042526000000000005
170,0.0036223
171,0.0042537
172,0.0019360000000000002
173,0.0047762
174,0.0022506
175,0.0027830000000000003
176,0.0034364000000000005
177,0.0022033
178,0.0045408
179,0.0019492000000000003
180,0.0036883
181,0.0025498
182,0.0029854
183,0.0045012
184,0.0070565
185,0.0019525000000000002
186,0.0056243000000000005
187,0.0037411000000000002
188,0.0014058
189,0.0017842000000000001
190,0.0037477
191,0.0032945
192,0.0029084000000000002
193,0.0029183000000000004
194,0.0020559000000000003
195,0.0028578000000000006
196,0.003465
