citing_cluster,cited_cluster,citation_count
2,2,816
3,2,143
1,2,130
6,2,129
2,0,107
2,7,106
4,2,101
2,5,99
7,2,93
5,2,92
2,3,61
0,0,60
7,7,57
4,4,53
4,7,49
2,6,47
0,2,46
3,7,37
6,6,37
6,7,36
1,0,33
3,0,33
2,1,33
1,7,32
2,4,31
6,5,31
4,5,29
5,5,29
4,3,27
6,4,26
0,7,26
6,3,25
4,0,24
4,6,24
6,0,24
5,7,23
1,5,23
7,3,22
3,5,22
7,4,21
3,3,21
3,4,20
5,0,19
1,4,19
5,3,17
1,3,15
7,0,15
7,6,14
3,6,14
5,4,14
7,1,14
4,1,13
5,6,13
3,1,12
0,6,12
7,5,12
1,6,11
5,1,9
6,1,6
0,3,6
1,1,5
0,5,4
0,1,4
0,4,2
